FID,lat,long,Time ,Speed,Road Width,FFS,Area Type,HGV_r,LGV_r,areaNum,Car,2-w,3-w,bus,light commercial vehicle,Car / Jeep (Commercial Yellow plate),sumVehicle,minibus,heavy commercial vehicles,Others
1,28.56875,77.21758,08:05:00,27.0439024390244,15,39,Core,1,1,0,315,122,92,19,3,0,562,5,4,2
1,28.56875,77.21758,08:10:00,27.72,15,39,Core,1,1,0,318,122,87,14,1,0,553,4,1,6
1,28.56875,77.21758,08:15:00,27.72,15,39,Core,1,1,0,296,127,107,21,4,4,567,1,3,4
1,28.56875,77.21758,08:20:00,28.4307692307692,15,39,Core,1,1,0,324,126,101,11,3,1,577,2,6,3
1,28.56875,77.21758,08:25:00,27.72,15,39,Core,1,1,0,305,124,96,17,1,0,551,3,1,4
1,28.56875,77.21758,08:30:00,25.2,15,39,Core,1,1,0,330,143,107,16,2,1,608,3,1,5
1,28.56875,77.21758,08:35:00,25.786046511627898,15,39,Core,1,1,0,337,138,118,11,1,0,616,2,1,8
1,28.56875,77.21758,08:40:00,25.786046511627898,15,39,Core,1,1,0,277,133,142,10,3,2,576,4,1,4
1,28.56875,77.21758,08:55:00,25.2,15,39,Core,1,1,0,265,166,137,11,2,1,590,2,3,3
1,28.56875,77.21758,09:00:00,25.786046511627898,15,39,Core,1,1,0,299,173,134,12,0,0,632,2,6,6
1,28.56875,77.21758,09:05:00,26.4,15,39,Core,1,1,0,317,195,136,8,0,3,668,2,2,5
1,28.56875,77.21758,09:10:00,25.786046511627898,15,39,Core,1,1,0,285,195,152,13,2,2,654,2,0,3
1,28.56875,77.21758,09:15:00,23.1,15,39,Core,1,1,0,279,200,155,11,0,2,653,1,3,2
1,28.56875,77.21758,09:20:00,27.0439024390244,15,39,Core,1,1,0,288,196,153,10,0,2,661,4,1,7
1,28.56875,77.21758,09:25:00,25.2,15,39,Core,1,1,0,306,221,170,13,2,0,718,1,1,4
1,28.56875,77.21758,09:30:00,25.2,15,39,Core,1,1,0,283,192,142,10,1,1,637,1,1,6
1,28.56875,77.21758,09:35:00,24.104347826086997,15,39,Core,1,1,0,311,216,129,19,2,0,684,2,2,3
1,28.56875,77.21758,09:40:00,23.591489361702102,15,39,Core,1,1,0,302,219,132,13,2,1,678,1,3,5
1,28.56875,77.21758,09:45:00,26.4,15,39,Core,1,1,0,319,252,122,12,2,0,713,1,2,3
1,28.56875,77.21758,09:50:00,23.1,15,39,Core,1,1,0,294,218,125,15,0,1,658,2,1,2
1,28.56875,77.21758,09:55:00,19.8,15,39,Core,1,1,0,276,227,133,12,1,3,660,2,5,1
1,28.56875,77.21758,10:00:00,21.3230769230769,15,39,Core,1,1,0,264,202,153,12,0,0,633,0,1,1
1,28.56875,77.21758,10:05:00,19.8,15,39,Core,1,1,0,246,186,142,11,2,0,588,1,0,0
1,28.56875,77.21758,10:10:00,21.741176470588197,15,39,Core,1,1,0,281,203,144,14,1,0,645,0,1,1
1,28.56875,77.21758,10:15:00,23.591489361702102,15,39,Core,1,1,0,266,216,135,12,2,2,638,0,2,3
1,28.56875,77.21758,10:20:00,25.2,15,39,Core,1,1,0,260,212,141,6,2,1,631,1,3,5
1,28.56875,77.21758,10:25:00,25.2,15,39,Core,1,1,0,251,203,128,17,4,1,609,2,0,3
1,28.56875,77.21758,10:30:00,24.64,15,39,Core,1,1,0,246,197,139,15,3,0,611,3,5,3
1,28.56875,77.21758,10:35:00,25.786046511627898,15,39,Core,1,1,0,259,192,135,13,1,0,604,0,2,2
1,28.56875,77.21758,10:40:00,23.1,15,39,Core,1,1,0,268,207,154,11,3,2,653,0,5,3
1,28.56875,77.21758,10:45:00,24.104347826086997,15,39,Core,1,1,0,244,196,124,19,1,1,591,1,3,2
1,28.56875,77.21758,10:50:00,21.3230769230769,15,39,Core,1,1,0,264,193,133,12,4,2,616,1,2,5
1,28.56875,77.21758,10:55:00,24.104347826086997,15,39,Core,1,1,0,232,176,128,13,1,3,559,0,3,3
1,28.56875,77.21758,11:00:00,24.104347826086997,15,39,Core,1,0,0,221,183,134,13,2,2,568,0,6,7
1,28.56875,77.21758,11:05:00,21.3230769230769,15,39,Core,1,0,0,226,166,121,18,9,0,547,1,5,1
1,28.56875,77.21758,11:10:00,20.16,15,39,Core,1,0,0,188,132,115,16,9,6,475,0,7,2
1,28.56875,77.21758,11:15:00,18.48,15,39,Core,1,0,0,192,145,108,10,9,2,475,0,9,0
1,28.56875,77.21758,11:20:00,14.4,15,39,Core,1,0,0,196,142,106,13,14,6,491,0,12,2
1,28.56875,77.21758,11:25:00,17.0584615384615,15,39,Core,1,0,0,206,136,96,21,18,2,484,0,5,0
1,28.56875,77.21758,11:30:00,17.325,15,39,Core,1,0,0,188,144,102,14,13,1,470,0,6,2
1,28.56875,77.21758,11:35:00,18.1770491803279,15,39,Core,1,0,0,179,152,105,17,9,2,471,1,5,1
1,28.56875,77.21758,11:40:00,20.9207547169811,15,39,Core,1,0,0,189,138,96,15,11,4,462,0,6,3
1,28.56875,77.21758,11:45:00,17.8838709677419,15,39,Core,1,0,0,176,144,102,13,15,3,463,0,9,1
1,28.56875,77.21758,11:50:00,20.533333333333303,15,39,Core,1,0,0,183,137,95,16,14,2,459,0,10,2
1,28.56875,77.21758,11:55:00,22.6285714285714,15,39,Core,1,0,0,186,146,88,13,16,1,461,1,7,3
1,28.56875,77.21758,12:00:00,16.8,15,39,Core,1,0,0,193,138,99,15,12,3,470,0,8,2
1,28.56875,77.21758,12:05:00,21.3230769230769,15,39,Core,1,0,0,185,151,104,19,15,6,488,0,8,0
1,28.56875,77.21758,12:10:00,18.48,15,39,Core,1,0,0,182,142,91,11,20,4,466,0,14,2
1,28.56875,77.21758,12:15:00,15.84,15,39,Core,1,0,0,176,149,96,15,13,6,470,3,9,3
1,28.56875,77.21758,12:20:00,13.5219512195122,15,39,Core,1,0,0,178,138,105,11,21,1,473,0,16,3
1,28.56875,77.21758,12:25:00,12.32,15,39,Core,1,0,0,183,146,102,12,24,4,482,0,9,2
1,28.56875,77.21758,12:30:00,13.0447058823529,15,39,Core,1,0,0,194,133,83,11,11,0,449,0,14,3
1,28.56875,77.21758,12:35:00,9.812389380530972,15,39,Core,1,0,0,181,140,89,15,28,3,466,0,8,2
1,28.56875,77.21758,12:40:00,9.9,15,39,Core,1,0,0,183,137,74,11,22,3,442,0,10,2
1,28.56875,77.21758,12:45:00,9.24,15,39,Core,1,0,0,186,145,79,9,24,8,469,1,16,1
